Date,Utilities,Information Technology,Materials,Health Care,Industrials,Consumer Discretionary,Financials,Communication Services,Consumer Staples,Real Estate,Energy
1992-01-02,,,,,,,,,,,
1992-01-03,,,,,,,,,,,
1992-01-06,,,,,,,,,,,
1992-01-07,,,,,,,,,,,
1992-01-08,,,,,,,,,,,
1992-01-09,,,,,,,,,,,
1992-01-10,,,,,,,,,,,
1992-01-13,,,,,,,,,,,
1992-01-14,,,,,,,,,,,
1992-01-15,,,,,,,,,,,
1992-01-16,,,,,,,,,,,
1992-01-17,,,,,,,,,,,
1992-01-20,,,,,,,,,,,
1992-01-21,,,,,,,,,,,
1992-01-22,31.89834159843258,23.31229986415968,-0.8654837724599618,,9.899889661406831,9.087897038226544,8.110210456607373,3.918845761217225,29.850928604869956,-0.4510052560443285,-1.4309229994578248
1992-01-23,-4.372525725847683,-4.786896247561145,-6.5125995120172195,,-21.39106263953214,-0.6516275459917513,1.3987310963497923,0.05640856085409063,7.293712071730951,14.83705339417057,-10.164502773228282
1992-01-24,15.324918508138474,-3.6783096242796365,-2.2375641259101133,,-10.100338808783798,0.14661975455566234,-4.159461170804477,1.561535615614172,14.554229815317763,-4.320049475309012,-6.006756082210151
1992-01-27,6.512371245206235,0.6076849461187581,1.2760907556387078,,-0.37714296029046324,-7.109795868271047,-1.8527853579582683,-4.273756942508602,-1.0150125971658752,1.7535062817507896,-9.825756252783401
1992-01-28,4.246076563490653,-5.999750190637163,0.8558667546393175,,-1.3546246298282034,8.231652550520401,-1.4847445874650915,2.0794152909412897,1.7565163074421064,2.0511434107175504,-1.9719719295308733
1992-01-29,-5.650442515558832,-12.326724738823247,-10.80009798592476,,-0.49987553910720384,-7.317269803835693,-20.702295840916392,-1.3399090431828713,-18.6824459409889,-2.941637770987806,-9.529432533600062
1992-01-30,-6.255923243752862,0.3974824876459969,-4.2747039605642065,,7.13323291127819,7.820822701739973,5.505765716180688,-2.3347484161763665,17.006283174694232,-1.8727812288847663,-4.34049045538529
1992-01-31,1.1576254286389644,-4.084269001873148,-6.439106120183715,,-18.80256713722867,11.083826356870121,-2.270431860980953,-4.519319856929327,-8.219702323612283,-3.5472188132079436,-0.05279080526679092
